AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 -0.948548 -0.161476 -0.0726052 -0.127522 0.0197953 0
1 1 -0.948935 -0.159372 -0.0709293 -0.130012 0.0165079 -171.1
1 2 -0.948838 -0.159286 -0.070387 -0.129976 0.0161086 -171.1
2 0 -0.920355 -0.000394247 -0.0891866 -0.015999 0.00537629 0
2 1 -0.921612 -0.00477445 -0.0944342 -0.0195417 0.00403082 -114.349
2 2 -0.922273 -0.0049998 -0.0950726 -0.0205255 0.00430342 -114.349
3 0 4.01118 -0.0602766 0.00586682 -0.0350177 0.0154913 0
3 1 4.01031 -0.0594928 0.00663592 -0.0393837 0.0113298 76.4707
3 2 4.01233 -0.0571231 0.00860599 -0.0288805 0.0182451 76.4695
4 0 1.9903 0.118792 0.0429046 0.0814014 0.0361001 0
4 1 1.99117 0.117105 0.0412383 0.0792013 0.0367117 -177.003
4 2 1.99117 0.116956 0.0409702 0.0789529 0.0366891 -177.003
5 0 5.49953 -0.0875241 -0.043184 -0.0725678 0.0119268 0
5 1 5.49867 -0.0870499 -0.0426799 -0.0753559 0.00822811 -90.1114
5 2 5.498 -0.0872074 -0.0427826 -0.0750225 0.00871806 -90.1121
6 0 4.51018 0.0712298 0.0318604 0.0517861 0.0172739 0
6 1 4.51104 0.0697463 0.0301184 0.0495009 0.0178964 89.9892
6 2 4.51085 0.0703164 0.0306572 0.0492605 0.0187892 89.9894
